Entity DCID,Entity properties isoCode,Entity properties name,Variable DCID,Variable observation date,Variable observation metadata importName,Variable observation metadata provenanceUrl,Variable observation metadata scalingFactor,Variable observation metadata unit,Variable observation metadata unitDisplayName,Variable observation value,Variable properties name
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1960,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,62.36937451,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1961,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,62.44370346,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1962,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,60.95036382,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1963,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,82.02173758,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1964,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,85.51107341,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1965,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,105.2431957,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1966,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,143.1032332,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1967,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,167.1656746,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1968,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,134.0127683,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1969,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,134.2503596,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1970,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,162.6421754,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1971,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,166.2248313,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1972,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,141.3653223,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1973,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,149.7440685,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1974,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,181.598776,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1975,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,194.6690362,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1976,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,205.6740967,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1977,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,232.7786988,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1978,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,255.0456222,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1979,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,284.7555317,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1980,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,291.649791,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,1981,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,311.853617,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2002,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,182.1740366,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2003,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,199.6432279,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2004,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,221.8305307,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2005,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,254.1152743,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2006,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,274.0153943,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2007,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,376.3182964,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2008,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,382.5338038,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2009,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,453.3873821,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2010,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,562.4992194,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2011,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,608.7388559,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2012,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,653.4174791,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2013,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,638.7331848,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2014,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,626.5129305,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2015,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,566.8811327,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2016,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,523.0530121,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2017,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,526.1408013,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2018,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,492.0906323,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2019,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,497.7414293,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2020,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,512.0550982,Nominal GDP Per Capita
country/AFG,AF,Afghanistan,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,2021,WorldDevelopmentIndicators,https://datacatalog.worldbank.org/dataset/world-development-indicators/,,USDollar,USD,355.7778264,Nominal GDP Per Capita
