CR,DATE
7.14,1950
7.14,1951
7.14,1952
7.14,1953
7.14,1954
7.14,1955
7.14,1956
7.14,1957
7.14,1958
7.14,1959
7.142859936,1960
7.142859936,1961
7.142859936,1962
7.142859936,1963
7.142859936,1964
7.142859936,1965
7.142859936,1966
7.142859936,1967
7.142859936,1968
7.142859936,1969
7.142860006,1970
7.128559999,1971
6.980124999,1972
6.281499999,1973
6.294999999,1974
6.294999999,1975
6.294999999,1976
6.294999999,1977
6.294999999,1978
6.294999999,1979
6.294999999,1980
6.294999999,1981
10.75035,1982
15.78765833,1983
20.01855,1984
39.48714167,1985
72,1986
105.1770833,1987
170.45275,1988
490.6751667,1989
1749.166667,1990
3800,1991
4400,1992
3983.333333,1993
4337.903226,1994
5725,1995
6882.5,1996
7608.333333,1997
7318,1998
8736.611111,1999
9571.5,2000
16810.91667,2001
20025.33333,2002
17706.08333,2003
14886.16667,2004
15251.25,2005
14091.58333,2006
14406,2007
14406,2008
19557.01111,2009
31900,2010
